RK,NAME,,TEAM,SALARY
1,Stephen Curry,PG,Golden State Warriors,"$40,231,758 "
2,Chris Paul,PG,Oklahoma City Thunder,"$38,506,482 "
3,Russell Westbrook,PG,Houston Rockets,"$38,506,482 "
4,John Wall,PG,Washington Wizards,"$38,199,000 "
5,Kevin Durant,SF,Brooklyn Nets,"$38,199,000 "
6,James Harden,SG,Houston Rockets,"$38,199,000 "
7,LeBron James,SF,Los Angeles Lakers,"$37,436,858 "
8,Kyle Lowry,PG,Toronto Raptors,"$34,996,296 "
9,Blake Griffin,PF,Detroit Pistons,"$34,449,964 "
10,Tobias Harris,SF,Philadelphia 76ers,"$32,742,000 "
11,Jimmy Butler,SF,Miami Heat,"$32,742,000 "
12,Kawhi Leonard,SF,LA Clippers,"$32,742,000 "
13,Klay Thompson,SG,Golden State Warriors,"$32,742,000 "
14,Kemba Walker,PG,Boston Celtics,"$32,742,000 "
15,Gordon Hayward,SF,Boston Celtics,"$32,700,690 "
16,Mike Conley,PG,Utah Jazz,"$32,511,624 "
17,Kyrie Irving,PG,Brooklyn Nets,"$31,742,000 "
18,Khris Middleton,SF,Milwaukee Bucks,"$30,603,448 "
19,Paul George,SG,LA Clippers,"$30,560,700 "
20,Paul Millsap,PF,Denver Nuggets,"$30,350,000 "
21,Damian Lillard,PG,Portland Trail Blazers,"$29,802,321 "
22,Kevin Love,PF,Cleveland Cavaliers,"$28,942,830 "
23,Al Horford,PF,Philadelphia 76ers,"$28,000,000 "
24,Nikola Vucevic,C,Orlando Magic,"$28,000,000 "
25,DeMar DeRozan,SF,San Antonio Spurs,"$27,739,975 "
26,CJ McCollum,SG,Portland Trail Blazers,"$27,556,959 "
27,Joel Embiid,C,Philadelphia 76ers,"$27,504,630 "
28,Andrew Wiggins,SG,Minnesota Timberwolves,"$27,504,630 "
29,Nikola Jokic,C,Denver Nuggets,"$27,504,630 "
30,Devin Booker,SG,Phoenix Suns,"$27,285,000 "
31,D'Angelo Russell,SG,Minnesota Timberwolves,"$27,285,000 "
32,Karl-Anthony Towns,C,Minnesota Timberwolves,"$27,285,000 "
33,Kristaps Porzingis,PF,Dallas Mavericks,"$27,285,000 "
34,Otto Porter Jr.,SF,Chicago Bulls,"$27,250,575 "
35,Bradley Beal,SG,Washington Wizards,"$27,093,019 "
36,Andre Drummond,C,Detroit Pistons,"$27,093,019 "
37,Anthony Davis,PF,Los Angeles Lakers,"$27,093,018 "
38,Hassan Whiteside,C,Portland Trail Blazers,"$27,093,017 "
39,Jrue Holiday,SG,New Orleans Pelicans,"$26,231,111 "
40,LaMarcus Aldridge,PF,San Antonio Spurs,"$26,000,000 "
41,Steven Adams,C,Oklahoma City Thunder,"$25,842,697 "
42,Giannis Antetokounmpo,PF,Milwaukee Bucks,"$25,842,697 "
43,Marc Gasol,C,Toronto Raptors,"$25,595,700 "
44,Nicolas Batum,SG,Charlotte Hornets,"$25,565,217 "
45,Chandler Parsons,F,Atlanta Hawks,"$25,102,511 "
46,Harrison Barnes,SF,Sacramento Kings,"$24,147,727 "
47,Serge Ibaka,C,Toronto Raptors,"$23,271,604 "
48,Rudy Gobert,C,Utah Jazz,"$23,241,573 "
49,Danilo Gallinari,PF,Oklahoma City Thunder,"$22,615,559 "
50,Victor Oladipo,SG,Indiana Pacers,"$21,000,000 "
51,Tim Hardaway Jr.,SG,Dallas Mavericks,"$20,025,127 "
52,Malcolm Brogdon,PG,Indiana Pacers,"$20,000,000 "
53,Terry Rozier,PG,Charlotte Hornets,"$19,894,737 "
54,Aaron Gordon,PF,Orlando Magic,"$19,863,636 "
55,Zach LaVine,PG,Chicago Bulls,"$19,500,000 "
56,Kent Bazemore,SG,Sacramento Kings,"$19,269,662 "
57,Tyler Johnson,G,Phoenix Suns,"$19,245,370 "
58,Goran Dragic,PG,Miami Heat,"$19,217,900 "
59,Jeff Teague,PG,Minnesota Timberwolves,"$19,000,000 "
60,Evan Turner,SG,Atlanta Hawks,"$18,606,556 "
61,Draymond Green,PF,Golden State Warriors,"$18,539,130 "
62,Tristan Thompson,C,Cleveland Cavaliers,"$18,539,130 "
63,Allen Crabbe,SG,Minnesota Timberwolves,"$18,500,000 "
64,Reggie Jackson,G,Detroit Pistons,"$18,086,956 "
65,Julius Randle,PF,New York Knicks,"$18,000,000 "
66,Myles Turner,C,Indiana Pacers,"$18,000,000 "
67,Gary Harris,SG,Denver Nuggets,"$17,839,286 "
68,Derrick Favors,C,New Orleans Pelicans,"$17,650,000 "
69,Andre Iguodala,SG,Miami Heat,"$17,185,185 "
70,Evan Fournier,SG,Orlando Magic,"$17,150,000 "
71,Bismack Biyombo,C,Charlotte Hornets,"$17,000,000 "
72,Bojan Bogdanovic,SF,Utah Jazz,"$17,000,000 "
73,Timofey Mozgov,C,Orlando Magic,"$16,720,000 "
74,Gorgui Dieng,C,Memphis Grizzlies,"$16,229,213 "
75,Ricky Rubio,PG,Phoenix Suns,"$16,200,000 "
76,Jonas Valanciunas,C,Memphis Grizzlies,"$16,000,000 "
77,JR Smith,G,Cleveland Cavaliers,"$15,680,000 "
78,Brandon Knight,PG,Detroit Pistons,"$15,643,750 "
79,Kelly Oubre Jr.,SF,Phoenix Suns,"$15,625,000 "
80,Eric Bledsoe,PG,Milwaukee Bucks,"$15,625,000 "
81,Dennis Schroder,PG,Oklahoma City Thunder,"$15,500,000 "
82,Ian Mahinmi,C,Washington Wizards,"$15,450,051 "
83,James Johnson,PF,Minnesota Timberwolves,"$15,349,400 "
84,Marvin Williams,F,Charlotte Hornets,"$15,006,250 "
85,Bobby Portis,PF,New York Knicks,"$15,000,000 "
86,Marcus Morris Sr.,SF,New York Knicks,"$15,000,000 "
87,Clint Capela,C,Houston Rockets,"$14,896,552 "
88,Luke Babbitt,F,Miami Heat,"$14,651,700 "
89,Danny Green,SG,Los Angeles Lakers,"$14,634,146 "
90,Rudy Gay,SF,San Antonio Spurs,"$14,500,000 "
91,Cody Zeller,C,Charlotte Hornets,"$14,471,910 "
92,Eric Gordon,SG,Houston Rockets,"$14,057,730 "
93,Mason Plumlee,PF,Denver Nuggets,"$14,041,096 "
94,Marcin Gortat,C,LA Clippers,"$13,565,218 "
95,JJ Redick,SG,New Orleans Pelicans,"$13,486,300 "
96,Jordan Clarkson,PG,Utah Jazz,"$13,437,500 "
97,Dewayne Dedmon,C,Sacramento Kings,"$13,333,333 "
98,Jusuf Nurkic,C,Portland Trail Blazers,"$13,125,000 "
99,Justise Winslow,SF,Miami Heat,"$13,000,000 "
100,Michael Kidd-Gilchrist,SF,Charlotte Hornets,"$13,000,000 "
101,Thaddeus Young,PF,Chicago Bulls,"$12,900,000 "
102,Will Barton,SF,Denver Nuggets,"$12,776,786 "
103,Courtney Lee,SG,Dallas Mavericks,"$12,759,670 "
104,Solomon Hill,SF,Memphis Grizzlies,"$12,758,781 "
105,Larry Nance Jr.,PF,Cleveland Cavaliers,"$12,727,273 "
106,Kelly Olynyk,PF,Miami Heat,"$12,667,885 "
107,Marcus Smart,PG,Boston Celtics,"$12,553,571 "
108,Miles Plumlee,C,Memphis Grizzlies,"$12,500,000 "
109,Terrence Ross,SG,Orlando Magic,"$12,500,000 "
110,Nikola Mirotic,F,Milwaukee Bucks,"$12,500,000 "
111,Patty Mills,PG,San Antonio Spurs,"$12,428,571 "
112,Tyreke Evans,G,Indiana Pacers,"$12,400,000 "
113,Patrick Beverley,PG,LA Clippers,"$12,345,680 "
114,Trevor Ariza,SF,Sacramento Kings,"$12,195,122 "
115,Dion Waiters,G,Miami Heat,"$12,100,000 "
116,Brook Lopez,C,Milwaukee Bucks,"$12,093,023 "
117,Cory Joseph,PG,Sacramento Kings,"$12,000,000 "
118,Joe Ingles,SG,Utah Jazz,"$11,954,546 "
119,Zach Randolph,F,Dallas Mavericks,"$11,692,308 "
120,Tony Snell,SF,Detroit Pistons,"$11,392,857 "
121,Robert Covington,PF,Minnesota Timberwolves,"$11,301,219 "
122,Meyers Leonard,C,Miami Heat,"$11,286,516 "
123,Omer Asik,C,Chicago Bulls,"$11,286,516 "
124,Maurice Harkless,SF,New York Knicks,"$11,011,234 "
125,T.J. Warren,SF,Indiana Pacers,"$10,810,000 "
126,Andre Roberson,SG,Oklahoma City Thunder,"$10,740,740 "
127,Spencer Dinwiddie,PG,Brooklyn Nets,"$10,605,600 "
128,Jeremy Lamb,SG,Indiana Pacers,"$10,500,000 "
129,Dwight Powell,C,Dallas Mavericks,"$10,259,375 "
130,Norman Powell,SG,Toronto Raptors,"$10,116,576 "
131,Josh Richardson,SG,Philadelphia 76ers,"$10,116,576 "
132,Darren Collison,G,Indiana Pacers,"$10,000,000 "
133,Tomas Satoransky,SG,Chicago Bulls,"$10,000,000 "
134,DeAndre Jordan,C,Brooklyn Nets,"$9,881,598 "
135,Zion Williamson,SF,New Orleans Pelicans,"$9,757,440 "
136,Markelle Fultz,PG,Orlando Magic,"$9,745,200 "
137,John Henson,PF,Detroit Pistons,"$9,732,396 "
138,Matthew Dellavedova,PG,Cleveland Cavaliers,"$9,607,500 "
139,Dante Exum,PG,Utah Jazz,"$9,600,000 "
140,Deandre Ayton,C,Phoenix Suns,"$9,562,920 "
141,Delon Wright,PG,Dallas Mavericks,"$9,473,684 "
142,Fred VanVleet,SG,Toronto Raptors,"$9,346,153 "
143,Jerami Grant,PF,Denver Nuggets,"$9,346,153 "
144,Tyus Jones,PG,Memphis Grizzlies,"$9,258,000 "
145,Al-Farouq Aminu,PF,Orlando Magic,"$9,258,000 "
146,George Hill,PG,Milwaukee Bucks,"$9,133,907 "
147,Kyle Anderson,SF,Memphis Grizzlies,"$9,073,050 "
148,Taj Gibson,C,New York Knicks,"$9,000,000 "
149,Ja Morant,PG,Memphis Grizzlies,"$8,730,240 "
150,Lonzo Ball,PG,New Orleans Pelicans,"$8,719,320 "
151,E'Twaun Moore,SG,New Orleans Pelicans,"$8,664,928 "
152,Marvin Bagley III,PF,Sacramento Kings,"$8,556,120 "
153,Bogdan Bogdanovic,SG,Sacramento Kings,"$8,529,386 "
154,P.J. Tucker,PF,Houston Rockets,"$8,349,039 "
155,C.J. Miles,G,Washington Wizards,"$8,333,333 "
156,Cristiano Felicio,PF,Chicago Bulls,"$8,156,500 "
157,Ben Simmons,PG,Philadelphia 76ers,"$8,113,930 "
158,Kentavious Caldwell-Pope,SG,Los Angeles Lakers,"$8,089,282 "
159,Thomas Bryant,C,Washington Wizards,"$8,000,000 "
160,Elfrid Payton,PG,New York Knicks,"$8,000,000 "
161,Wayne Ellington,SG,New York Knicks,"$8,000,000 "
162,Lou Williams,SG,LA Clippers,"$8,000,000 "
163,Maxi Kleber,PF,Dallas Mavericks,"$8,000,000 "
164,RJ Barrett,SG,New York Knicks,"$7,839,960 "
165,Jayson Tatum,PF,Boston Celtics,"$7,830,000 "
166,Jae Crowder,SF,Memphis Grizzlies,"$7,815,533 "
167,Luka Doncic,SG,Dallas Mavericks,"$7,683,360 "
168,Joe Harris,SF,Brooklyn Nets,"$7,666,667 "
169,Darrell Arthur,F,Phoenix Suns,"$7,464,912 "
170,Seth Curry,SG,Dallas Mavericks,"$7,461,380 "
171,Doug McDermott,SF,Indiana Pacers,"$7,333,333 "
172,Langston Galloway,SG,Detroit Pistons,"$7,333,333 "
173,Derrick Rose,PG,Detroit Pistons,"$7,317,073 "
174,Brandon Ingram,SF,New Orleans Pelicans,"$7,265,485 "
175,D.J. Augustin,PG,Orlando Magic,"$7,250,000 "
176,Lance Thomas,F,Brooklyn Nets,"$7,119,650 "
177,De'Andre Hunter,SF,Atlanta Hawks,"$7,068,360 "
178,Josh Jackson,SG,Memphis Grizzlies,"$7,059,480 "
179,Davis Bertans,SF,Washington Wizards,"$7,000,000 "
180,DeMarre Carroll,F,San Antonio Spurs,"$7,000,000 "
181,Ersan Ilyasova,PF,Milwaukee Bucks,"$7,000,000 "
182,Darius Miller,SF,New Orleans Pelicans,"$7,000,000 "
183,Jaren Jackson Jr.,PF,Memphis Grizzlies,"$6,927,480 "
184,Nemanja Bjelica,PF,Sacramento Kings,"$6,825,000 "
185,Jaylen Brown,SG,Boston Celtics,"$6,534,829 "
186,Jabari Parker,F,Atlanta Hawks,"$6,500,000 "
187,Ivica Zubac,C,LA Clippers,"$6,481,482 "
188,Darius Garland,PG,Cleveland Cavaliers,"$6,400,920 "
189,De'Aaron Fox,PG,Sacramento Kings,"$6,392,760 "
190,Milos Teodosic,G,LA Clippers,"$6,300,000 "
191,Trae Young,PG,Atlanta Hawks,"$6,273,000 "
192,Wesley Johnson,F,Washington Wizards,"$6,134,520 "
193,Ish Smith,PG,Washington Wizards,"$6,000,000 "
194,Montrezl Harrell,PF,LA Clippers,"$6,000,000 "
195,Marco Belinelli,SG,San Antonio Spurs,"$5,846,154 "
196,Jarrett Culver,SG,Minnesota Timberwolves,"$5,813,640 "
197,Jonathan Isaac,PF,Orlando Magic,"$5,806,440 "
198,Rodney Hood,SF,Portland Trail Blazers,"$5,718,000 "
199,Jonathon Simmons,G,Washington Wizards,"$5,700,000 "
200,Mo Bamba,C,Orlando Magic,"$5,697,600 "
201,Trey Lyles,C,San Antonio Spurs,"$5,500,000 "
202,Alex Abrines,G,Oklahoma City Thunder,"$5,455,236 "
203,Aron Baynes,C,Phoenix Suns,"$5,453,280 "
204,Jason Smith,F,New Orleans Pelicans,"$5,450,000 "
205,Kris Dunn,SF,Chicago Bulls,"$5,348,007 "
206,Coby White,PG,Chicago Bulls,"$5,307,120 "
207,Lauri Markkanen,PF,Chicago Bulls,"$5,300,400 "
208,Alexis Ajinca,C,LA Clippers,"$5,285,394 "
209,Wendell Carter Jr.,C,Chicago Bulls,"$5,201,400 "
210,Dirk Nowitzki,F,Dallas Mavericks,"$5,000,000 "
211,Daniel Theis,C,Boston Celtics,"$5,000,000 "
212,Kyle Singler,F,Oklahoma City Thunder,"$4,996,000 "
213,Jaxson Hayes,C,New Orleans Pelicans,"$4,862,040 "
214,Buddy Hield,SG,Sacramento Kings,"$4,861,208 "
215,Frank Ntilikina,PG,New York Knicks,"$4,855,800 "
216,Rodney McGruder,SG,LA Clippers,"$4,807,693 "
