PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
James Harden,HOU,30,53,35,18,1958,1867,536,1222,43.9,243,677,35.9,552,636,86.8,56,285,341,391,233,88,52,180,3049.7,18,3,273
Damian Lillard,POR,29,54,25,29,1996,1594,507,1102,46,212,539,39.3,368,414,88.9,28,207,235,429,158,52,18,91,2571.5,16,1,47
Trae Young,ATL,21,52,15,37,1840,1558,481,1081,44.5,184,492,37.4,412,482,85.5,29,199,228,477,255,60,6,89,2490.1,22,2,-205
Giannis Antetokounmpo,MIL,25,50,43,7,1543,1502,554,1003,55.2,75,241,31.1,319,519,61.5,120,559,679,292,182,55,53,155,2896.8,45,4,556
Zach LaVine,CHI,24,58,20,38,2009,1463,510,1139,44.8,177,463,38.2,266,326,81.6,39,242,281,243,200,86,28,122,2306.7,2,0,-183
Devin Booker,PHX,23,54,23,31,1938,1424,480,971,49.4,107,297,36,357,387,92.2,26,202,228,342,207,40,13,158,2162.6,6,0,72
Bradley Beal,WAS,26,48,16,32,1709,1419,483,1066,45.3,123,384,32,330,391,84.4,47,164,211,290,161,53,19,108,2162.2,7,0,-195
LeBron James,LAL,35,53,42,11,1850,1335,507,1034,49,114,330,34.5,207,299,69.2,51,359,410,567,209,66,24,93,2738.5,38,12,440
Donovan Mitchell,UTA,23,55,35,20,1892,1331,494,1082,45.7,132,367,36,211,245,86.1,36,201,237,234,148,59,11,133,2028.4,1,0,136
Luka Doncic,DAL,20,45,29,16,1477,1304,428,919,46.6,133,407,32.7,315,412,76.5,62,368,430,389,189,46,8,108,2376.5,30,12,245
Anthony Davis,LAL,26,48,38,10,1664,1285,446,867,51.4,54,164,32.9,339,402,84.3,106,345,451,158,121,73,118,117,2515.2,25,0,222
Russell Westbrook,HOU,31,47,31,16,1690,1278,497,1066,46.6,46,187,24.6,238,302,78.8,78,293,371,338,203,75,16,170,2300.2,20,8,150
DeMar DeRozan,SAS,30,54,23,31,1842,1225,457,863,53,8,29,27.6,303,359,84.4,34,270,304,280,133,55,13,147,2080.8,4,0,-121
Brandon Ingram,NOP,22,49,20,29,1662,1202,411,873,47.1,123,306,40.2,257,299,86,41,267,308,210,147,47,35,140,1985.6,8,0,-49
Nikola Jokic,DEN,25,57,39,18,1854,1191,463,878,52.7,69,210,32.9,196,241,81.3,136,441,577,391,170,67,40,177,2620.9,35,11,243
Jayson Tatum,BOS,21,52,37,15,1779,1190,426,957,44.5,139,360,38.6,199,242,82.2,54,309,363,151,113,71,47,110,2093.1,8,0,407
CJ McCollum,POR,28,54,25,29,1937,1175,465,1038,44.8,149,385,38.7,96,128,75,34,184,218,217,97,39,33,135,1881.1,3,0,11
Kawhi Leonard,LAC,28,43,31,12,1400,1172,408,883,46.2,93,245,38,263,293,89.8,43,280,323,227,129,78,29,83,2092.1,12,1,308
Spencer Dinwiddie,BKN,26,55,26,29,1719,1143,373,900,41.4,104,342,30.4,293,379,77.3,28,167,195,366,147,35,18,155,1938,7,0,79
Bojan Bogdanovic,UTA,30,55,36,19,1831,1139,373,831,44.9,172,408,42.2,221,246,89.8,33,197,230,113,140,31,6,96,1555.5,0,0,291
Buddy Hield,SAC,27,56,23,33,1847,1129,408,949,43,210,545,38.5,103,122,84.4,53,222,275,180,135,50,16,137,1792,2,0,-99
Collin Sexton,CLE,21,56,15,41,1805,1111,423,923,45.8,77,210,36.7,188,221,85.1,55,121,176,157,124,54,7,120,1616.7,0,0,-379
Shai Gilgeous-Alexander,OKC,21,57,35,22,2025,1104,399,860,46.4,70,202,34.7,236,291,81.1,43,313,356,190,107,64,37,97,2012.2,8,1,176
Pascal Siakam,TOR,25,46,36,10,1607,1091,405,872,46.4,99,270,36.7,182,225,80.9,53,293,346,158,110,44,43,125,1894.2,11,0,345
Tobias Harris,PHI,27,57,35,22,1962,1079,422,896,47.1,98,276,35.5,137,170,80.6,41,346,387,173,86,42,31,129,1935.9,9,0,129
Dennis Schroder,OKC,26,56,34,22,1742,1066,396,842,47,111,289,38.4,163,192,84.9,19,196,215,226,143,37,13,123,1670,0,0,261
Andrew Wiggins,GSW,25,47,12,35,1618,1041,387,863,44.8,102,298,34.2,165,230,71.7,56,184,240,171,117,38,45,112,1717.5,2,1,-143
Lou Williams,LAC,33,53,35,18,1593,1038,339,820,41.3,95,271,35.1,265,306,86.6,25,142,167,310,160,34,10,74,1675.4,2,0,130
Evan Fournier,ORL,27,55,23,32,1746,1036,365,788,46.3,149,365,40.8,157,189,83.1,13,133,146,172,111,60,10,137,1568.2,0,0,-89
Montrezl Harrell,LAC,26,55,37,18,1561,1032,421,731,57.6,0,16,0,190,298,63.8,150,242,392,98,98,37,62,129,1848.4,10,0,195
Julius Randle,NYK,25,54,17,37,1770,1030,386,853,45.3,55,209,26.3,203,287,70.7,122,396,518,174,165,44,18,151,1933.6,23,0,-201
Kelly Oubre Jr.,PHX,24,55,21,34,1895,1028,366,813,45,107,304,35.2,189,242,78.1,67,291,358,83,82,70,39,188,1827.1,9,0,-58
Khris Middleton,MIL,28,49,41,8,1452,1014,371,731,50.8,120,271,44.3,152,168,90.5,39,267,306,207,99,46,7,106,1751.7,5,0,482
Kemba Walker,BOS,29,46,32,14,1481,1001,332,773,42.9,156,402,38.8,181,209,86.6,31,158,189,230,97,45,25,73,1685.8,2,0,235
T.J. Warren,IND,26,54,33,21,1743,997,399,761,52.4,60,163,36.8,139,173,80.3,53,154,207,75,64,65,25,148,1563.9,0,0,45
Domantas Sabonis,IND,23,54,31,23,1867,987,393,733,53.6,13,58,22.4,188,258,72.9,164,509,673,259,147,40,28,180,2240.1,43,4,142
Devonte' Graham,CHA,25,56,19,37,1961,985,314,842,37.3,190,516,36.8,167,205,81.5,41,158,199,429,163,53,15,104,1908.3,16,0,-183
Chris Paul,OKC,34,56,35,21,1777,981,345,709,48.7,92,252,36.5,199,222,89.6,20,265,285,373,120,86,8,128,2044.5,9,0,272
LaMarcus Aldridge,SAS,34,52,22,30,1717,977,381,770,49.5,60,153,39.2,155,187,82.9,103,287,390,127,73,33,83,127,1910.5,14,0,-135
Terry Rozier,CHA,25,55,18,37,1879,969,340,811,41.9,143,367,39,146,168,86.9,44,204,248,221,128,57,10,113,1671.1,2,0,-378
Jimmy Butler,MIA,30,47,31,16,1616,966,290,640,45.3,28,114,24.6,358,428,83.6,87,236,323,290,107,84,26,66,2011.6,10,3,228
Joel Embiid,PHI,25,41,26,15,1258,949,305,659,46.3,53,155,34.2,286,351,81.5,113,379,492,131,126,34,56,144,1879.9,32,0,110
Danilo Gallinari,OKC,31,49,28,21,1501,935,289,658,43.9,144,355,40.6,213,236,90.3,31,243,274,110,67,33,4,63,1472.8,3,0,185
Jaylen Brown,BOS,23,46,31,15,1552,934,346,698,49.6,96,253,37.9,146,198,73.7,50,245,295,99,111,53,14,140,1526.5,6,0,172
Jrue Holiday,NOP,29,48,21,27,1663,929,364,818,44.5,99,278,35.6,102,144,70.8,59,166,225,325,142,81,41,100,1910.5,9,0,-18
Karl-Anthony Towns,MIN,24,35,10,25,1187,926,316,622,50.8,114,277,41.2,180,226,79.6,95,283,378,153,110,33,42,117,1724.1,24,0,-15
Andre Drummond,CLE,26,53,19,34,1751,921,382,720,53.1,3,26,11.5,154,267,57.7,242,580,822,145,194,102,87,185,2497.9,45,0,-172
Jaren Jackson Jr.,MEM,20,54,28,26,1512,914,328,701,46.8,135,340,39.7,123,166,74.1,53,201,254,76,94,36,87,219,1607.8,3,0,-113
Ben Simmons,PHI,23,54,33,21,1930,902,361,617,58.5,2,6,33.3,178,284,62.7,108,315,423,442,192,115,32,173,2321.6,30,6,79
Bam Adebayo,MIA,22,56,36,20,1927,898,350,606,57.8,1,12,8.3,197,288,68.4,146,438,584,282,154,71,66,136,2278.8,32,3,198
Jamal Murray,DEN,23,47,33,14,1528,889,332,726,45.7,85,251,33.9,140,157,89.2,35,149,184,224,107,58,14,81,1554.8,2,0,236
Ja Morant,MEM,20,50,27,23,1495,882,333,677,49.2,38,107,35.5,178,229,77.7,32,140,172,345,164,48,13,79,1624.9,9,1,-13
Marcus Morris Sr.,LAC,30,47,15,32,1518,880,298,677,44,121,282,42.9,163,198,82.3,50,202,252,65,82,36,21,140,1368.9,3,0,-126
Kyle Lowry,TOR,33,45,32,13,1635,873,267,635,42,129,361,35.7,210,245,85.7,28,188,216,348,133,59,19,142,1755.2,13,2,217
Dillon Brooks,MEM,24,56,28,28,1585,864,315,774,40.7,112,298,37.6,122,150,81.3,54,135,189,113,92,52,23,213,1393.3,0,0,-47
Nikola Vucevic,ORL,29,45,19,26,1452,861,347,758,45.8,75,222,33.8,92,118,78,119,369,488,165,65,43,42,101,1884.1,28,0,-12
Jordan Clarkson,UTA,27,55,26,29,1338,849,309,662,46.7,119,316,37.7,112,133,84.2,37,107,144,115,68,34,15,76,1273.3,0,0,-49
